ID,"Name 
(Counterpart)","RA 
[hh:mm:ss]","DEC 
[dd:mm:ss]","ℓ
[deg]","b 
[deg]","Magnitude
Outburst (AB)","Mag. 
Quies. (AB)","d 
[kpc]","fxpeak
[2-10] keV
[erg s-1 cm-2]","Porb 
[h]"
68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01±0.01,,,3.96E-09,
67,"AT2019wey 
SRGA J043520.9+552226 = ZTF19acwrvzk",4:35:23,55:22:34,151.16113,5.29973,r’=17.40±0.05,i’≥24.1,>1,2.40E-08,<8.2
66,MAXI J0637-430,6:36:24,-42:52:05,251.532037,-20.674739,r’=15.80±0.01,i’>20.7,,6.29E-09,
65,MAXI J1348-630,13:48:13,-63:16:28,309.2640654,-1.10297116,i’=14.44±0.08,i’=20.3±0.4,>3 / 2.2+0.5-0.6,1.97E-08,
64,MAXI J1631-479,16:31:14,-47:48:23,336.2881394,0.31248069,,,,1.06E-08,
63,"MAXI J1820+070 
ASASSN-18ey = V3721 Oph",18:20:22,7:11:07,35.8535506,10.1591562,V∼14,V=18.3,"3.46+2.18-1.03/
2.96±0.33",2.26E-07,16.4518±0.0002
62,MAXI J1813-095,18:13:34,-9:31:59,20.1116048,3.94826128,i’=18.62±0.02,i’>19.7,,7.10E-10,
61,Swift J1658.2-4242,16:58:13,-42:41:56,343.2512784,0.05342834,,,,7.20E-10,
60,"MAXI J1535-571 
GRB 170902A",15:35:20,-57:13:48,323.7240835,-1.12885997,i’=21.8±0.2,,,1.44E-07,
59,IGR J17454-2919,17:45:28,-29:19:53,359.6444754,-0.17656165,,Ks=13.22±0.02,,2.78E-10,
58,IGR J17451-3022,17:45:07,-30:22:43,358.7115137,-0.65799919,Ks=17.4±0.2,Ks=17.6±0.1,,1.90E-10,∼6.284±0.001
57,MAXI J1828-249,18:28:58,-25:01:46,8.1151012,-6.5448459,K=17.2±0.2,Ks=20.82±0.09,,4.58E-09,
56,Swift J1753.7-2544,17:53:40,-25:45:14,3.6476003,0.10353821,K (not AB)∼16.5,,,7.09E-09,
55,Swift J174510.8-262411,17:45:11,-26:24:13,2.1108255,1.40326586,i'∼17.6,r’>23.1±0.5,<7,2.90E-08,≤21
54,"Swift J1910.2-0546 
MAXI J1910-057",19:10:23,-5:47:56,29.9025737,-6.84402939,i’=15.6±0.1,i’=22.18±0.04,,1.95E-08,>6.2
53,MAXI J1305-704,13:06:55,-70:27:05,304.2379729,-7.61898877,i’=16.61±0.05,i’=20.21±0.08,7.5+1.8-1.4,1.03E-09,9.5±0.1
52,MAXI J1836-194,18:35:43,-19:19:10,13.9456207,-5.35432173,V=16.33±0.08,V>19.5,7±3,1.01E-09,<4.9
51,MAXI J1543-564,15:43:17,-56:24:50,325.0848697,-1.12117655,z’∼20.7,KsB2=21.8±0.2,>8.5,1.43E-09,
50,Swift J1357.2-0933,13:57:17,-9:32:39,328.7018426,50.00430936,r'=16.3±0.05,r’=21.71±0.08,≥6 / >2.29,2.23E-10,2.8±0.3
49,"MAXI J1659-152 
V2862 Oph",16:59:02,-15:15:29,5.5153001,16.52618846,v=16.5,r’=24.20±0.08,8.6±3.7,6.80E-09,2.414±0.005
48,"XTE J1752-223 
V5678 Sgr",17:52:15,-22:20:32,6.4231338,2.11431706,J=15.75±0.01,i’>24.4,6±2,5.18E-10,<7
47,XTE J1652-453,16:52:20,-45:20:40,340.5296446,-0.78676794,Ks>19,,,1.39E-08,
46,Swift J1539.2-6227,15:39:12,-62:28:02,321.0186501,-5.64277055,uvw2=18.07±0.03,i’>19.8,,6.47E-09,
45,Swift J1842.5-1124,18:42:17,-11:25:04,21.7270436,-3.17903051,Ks=16.75±0.05,Ks∼19.25,,9.85E-09,
44,Swift J174540.2-290005,17:45:40,-29:00:06,359.9494702,-0.04315833,Ks>19.55,,,4.98E-12,
43,IGR J17497-2821,17:49:38,-28:21:18,0.9531046,-0.45275798,Ks=17.8±0.2,,,1.09E-09,
42,XTE J1817-330,18:17:44,-33:01:08,359.8172195,-7.99544288,g'=14.93±0.05,V>22.0,5.5±4.5,4.94E-08,
