Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc)
J0023+0923,hrm+11,J0023+0923,00:23:16.878141,+09:23:23.8652,ELL1,UL,1.111
B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.690
B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.690
B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.690
B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.690
J0024-7204O,clf+00,J0024-7204O,00:24:04.65254,-72:04:53.7670,BTX,UL,4.690
J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.690
J0024-7204Q,clf+00,J0024-7204Q,00:24:16.4909,-72:04:25.1644,ELL1,He,4.690
J0024-7204R,clf+00,J0024-7204R,00:24:07.5851,-72:04:50.3954,ELL1,UL,4.690
J0024-7204S,clf+00,J0024-7204S,00:24:03.9794,-72:04:42.3530,ELL1,He,4.690
J0024-7204T,clf+00,J0024-7204T,00:24:08.5491,-72:04:38.932,ELL1,He,4.690
J0024-7204U,clf+00,J0024-7204U,00:24:09.8366,-72:03:59.6882,ELL1,He,4.690
J0024-7204V,clf+00,J0024-7204V,00:24:05.67,-72:04:52.62,BTX,*,4.690
J0024-7204W,clf+00,J0024-7204W,00:24:06.058,-72:04:49.088,BTX,MS,4.690
J0024-7204X,fre08,J0024-7204X,00:24:22.38565,-72:01:17.4414,ELL1,*,4.690
J0024-7204Y,frk+17,J0024-7204Y,00:24:01.4026,-72:04:41.8363,ELL1,He,4.690
J0034-0534,bhl+94,J0034-0534,00:34:21.83422,-05:34:36.722,ELL1,He,1.348
J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.700
J0101-6422,kcj+12,J0101-6422,01:01:11.1163,-64:22:30.171,BT,He,1.002
J0102+4839,hrm+11,J0102+4839,01:03,+48:00,BT,He,2.380
J0214+5222,slr+14,J0214+5222,02:14:55.2713,+52:22:40.95,BT,He,1.161
J0218+4232,nbf+95,J0218+4232,02:18:06.358569,+42:32:17.37515,ELL1,He,3.150
J0251+26,cck+16,J0251+26,02:51:08,+26:05,BT,UL,1.155
J0337+1715,rsa+14,J0337+1715,03:37:43.82589,+17:15:14.828,ELL1,HeT,1.300
J0348+0432,lbr+13,J0348+0432,03:48:43.639000,+04:32:11.4580,ELL1,He,2.100
J0407+1607,lxf+05,J0407+1607,04:07:54.939,+16:07:16.4,BT,He,1.340
J0437-4715,jlh+93,J0437-4715,04:37:15.8961737,-47:15:09.110714,T2,He,0.157
J0453+1559,dsm+13,J0453+1559,04:53:45.41368,+15:59:21.3063,DDH,NS,0.522
J0509+0856,mgf+19,J0509+0856,05:09:22.23485,+08:56:25.0248,ELL1,He(?),0.817
J0509+3801,slr+14,J0509+3801,05:09:31.7880,+38:01:18.083,DDGR,NS,1.562
J0514-4002A,fgri04,J0514-4002A,05:14:06.69271,-40:02:48.8930,DDH,*,13.200
J0557+1550,skl+15,J0557+1550,05:57:31.44918,+15:50:06.046,ELL1,He,1.834
J0605+3757,san16,J0605+3757,06:05:05.5439,+37:57:35.96,DD,He,0.215
J0610-2100,bjd+06,J0610-2100,06:10:13.595462,-21:00:27.9313,ELL1,UL,3.259
J0613-0200,lnl+95,J0613-0200,06:13:43.975823,-02:00:47.23123,ELL1H,He,0.780
J0614-3329,rrc+11,J0614-3329,06:14:10.3478,-33:29:54.118,BT,He,0.630
J0621+1002,cnst96,J0621+1002,06:21:22.11436,+10:02:38.7352,DD,CO,0.420
J0621+2514,san16,J0621+2514,06:21:10.8542,+25:14:03.83,ELL1,He,1.641
J0636+5129,slr+14,J0636+5129,06:36:04.847206,+51:28:59.96683,ELL1,UL,0.210
J0653+4706,bph+17a,J0653+4706,06:53,+47:06,BT,*,0.912
B0655+64,dth78,J0700+6418,07:00:37.802,+64:18:11.20,BT,CO,0.413
J0709+0458,mgf+19,J0709+0458,07:09:08.36539,+04:58:51.4941,DDH,CO,1.203
J0721-2038,bkl+13,J0721-2038,07:21:42.9047,-20:38:07.061,BT,CO,2.682
J0732+2314,mgf+19,J0732+2314,07:32:37.5156,+23:14:54.21,ELL1,He(?),1.151
J0737-3039A,bdp+03,J0737-3039A,07:37:51.248419,-30:39:40.71431,DDS,NS,1.100
J0737-3039B,lbk+04,J0737-3039B,07:37:51.248419,-30:39:40.71431,DD,NS,1.100
J0740+6620,slr+14,J0740+6620,07:40:45.792765,+66:20:33.51965,ELL1,He,0.929
J0751+1807,lzc95,J0751+1807,07:51:09.155331,+18:07:38.4864,ELL1H,He,1.110
B0820+02,mlt+78,J0823+0159,08:23:09.7651,+01:59:12.469,BT,CO,2.500
J0824+0028,dsm+13,J0824+0028,08:24:24.84022,+00:28:00.567,DDH,CO(?),1.689
J0900-3144,bjd+06,J0900-3144,09:00:43.953088,-31:44:30.89520,ELL1,CO(?),0.890
J0952-0607,bph+17,J0952-0607,09:52:08.32141,-06:07:23.490,ELL1,UL,5.600
J0955-61,ckr+15,J0955-61,09:55,-61:48,BT,*,2.168
J1012-4235,ckr+15,J1012-4235,10:12:07,-42:35,BT,He,0.372
J1012+5307,nll+95,J1012+5307,10:12:33.438234,+53:07:02.28278,ELL1,He,0.700
J1017-7156,kjb+12,J1017-7156,10:17:51.32828,-71:56:41.64586,DD,He,0.256
J1022+1001,cnst96,J1022+1001,10:22:57.9957,+10:01:52.765,DD,CO,0.719
J1023+0038,asr+09,J1023+0038,10:23:47.68720,+00:38:40.8455,ELL1,MS,1.368
J1036-8317,ckr+15,J1036-8317,10:36,-83:17,BT,He,0.929
J1045-4509,bhl+94,J1045-4509,10:45:50.18696,-45:09:54.1223,ELL1,He,0.340
J1048+2339,cck+16,J1048+2339,10:48:43.4183,+23:39:53.411,ELL1,MS,2.002
J1056-7117,nbb+14,J1056-7117,10:56:45.980,-71:17:53.394,ELL1,He,1.690
J1101-6424,ncb+15,J1101-6424,11:01:37.1923,-64:24:39.332,ELL1,CO,2.174
J1125-5825,kjv+10,J1125-5825,11:25:44.36564,-58:25:16.8798,DD,He,1.744
J1125-6014,fsk+04,J1125-6014,11:25:55.2180,-60:14:06.608,ELL1,He,0.989
J1125+7819,slr+14,J1125+7819,11:25:59.8397,+78:19:48.7129,ELL1,He(?),0.878
J1137+7528,san16,J1137+7528,11:37:02.0573,+75:28:02.3111,ELL1,He,3.833
J1141-6545,klm+00a,J1141-6545,11:41:07.0140,-65:45:19.1131,DD,CO,10.000
J1142+0119,san16,J1142+0119,11:42:50.145,+01:19:35.69,ELL1,He,2.169
J1157-5112,eb01,J1157-5112,11:57:08.166,-51:12:56.14,ELL1,CO,0.960
J1216-6410,fsk+04,J1216-6410,12:16:07.3396,-64:10:09.226,ELL1,He,1.099
J1227-4853,rrb+15,J1227-4853,12:27:58.724,-48:53:42.741,ELL1,MS,1.613
J1227-6208,btb+15,J1227-6208,12:27:00.4413,-62:08:43.789,ELL1H,CO,9.470
J1231-1411,rrc+11,J1231-1411,12:31:11.3132,-14:11:43.63,BT,He,0.420
J1232-6501,clm+01,J1232-6501,12:32:17.840,-65:01:03.33,ELL1,He,5.423
J1244-6359,ncb+15,J1244-6359,12:44:47.693,-63:59:47.4,DD,CO,8.497
B1257+12,wol90a,J1300+1240,13:00:03.5767,+12:40:56.4721,BT2P,ULT,0.709
J1301+0833,rap+12,J1301+0833,13:01:38.26,+08:33:57.5,BT,UL,1.233
B1259-63,jlm+92,J1302-6350,13:02:47.638337,-63:50:08.62859,MSS,MS,2.632
J1306-4035,kbj+18,J1306-4035,13:06:56.30,-40:35:23.3,BT,MS,4.700
J1311-3430,pgf+12,J1311-3430,13:11:45.7242,-34:30:30.350,ELL1,UL,2.430
J1312+0051,san16,J1312+0051,13:12:46.64232,+00:51:00.104,DD,He,1.471
B1310+18,kapw91,J1312+1810,13:12:55,+18:10,BT,*,20.600
J1327-0755,blr+13,J1327-0755,13:27:57.5880,-07:55:29.80,ELL1,He,25.000
J1337-6423,kjb+12,J1337-6423,13:37:31.883,-64:23:04.915,ELL1,CO,5.940
J1342+2822B,hrs+07,J1342+2822B,13:42:11.0871,+28:22:40.141,ELL1,He,9.900
J1342+2822D,hrs+07,J1342+2822D,13:42:10.2,+28:22:36,DD,He,9.900
J1400-1431,rsm+13,J1400-1431,14:00:37.00361,-14:31:47.045,ELL1,He,0.278
J1405-4656,btb+15,J1405-4656,14:05:21.4255,-46:56:02.31,ELL1,He,0.669
J1411+2551,msf+17,J1411+2551,14:11:18.866,+25:51:08.39,DD,NS,1.131
