angDist,Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc),Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
4.922578,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,4689639198115980800,6.04228096610,-72.08953304620,4727.78857000,3523.82227000,6393.50098000,3899.92236000,2926.71973000,4422.47852000,10033
2.103907,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,4689639472995345024,6.02936422618,-72.06817458642,2921.95386000,2499.23950000,3341.61670000,2772.34863000,2331.34766000,3245.73853000,10033
2.404436,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,4689639468699964800,6.02775610805,-72.06922316636,3028.65308000,2225.40283000,4150.71094000,2162.31226000,1806.80176000,2695.46094000,10033
3.125927,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,4689639468699963520,6.02630452437,-72.06784783340,6232.11328000,3786.26514000,9146.80762000,4363.85596000,3867.19385000,4706.28906000,10033
4.284174,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,4689639266835395584,6.03427423570,-72.07881930305,3820.94751000,2325.20605000,5938.50098000,2173.70239000,1843.27954000,2732.60962000,10033
4.416528,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,4689639468699968384,6.03519950983,-72.07665389158,3831.83936000,3331.07788000,4349.50293000,4042.14185000,3746.82178000,4261.76270000,10033
1.470046,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,4689639537419422848,5.99651705843,-72.06659358056,4667.33350000,3461.65625000,6318.18652000,3327.04199000,2949.28320000,4621.15869000,10133
3.414906,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,4689639541722590848,5.99525812004,-72.06697075092,959.83447300,893.01550300,1030.25537000,1067.02112000,948.80322300,1145.37854000,10033
3.629242,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,4689639537419423616,5.99789397821,-72.06532883284,3847.39624000,3539.74780000,4161.06348000,4106.40137000,3892.82104000,4317.64893000,10033
4.400952,B0021-72J,mlr+91,J0024-7204J,00:23:59.4077,-72:03:58.7908,BTX,UL,4.69,4689639541714879232,5.99451530736,-72.06553607172,4670.86377000,3030.90625000,6767.33594000,3024.00684000,2186.54077000,4549.94385000,10033
2.288307,J0024-7204O,clf+00,J0024-7204O,00:24:04.65254,-72:04:53.7670,BTX,UL,4.69,4689639266844741376,6.02136691235,-72.08178209766,3684.83325000,2943.57886000,4563.39990000,3279.50195000,3043.59424000,3527.49341000,10033
1.216179,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639301208567936,6.08237220692,-72.06960745829,8796.21680000,5515.66992000,11276.78320000,3362.95312000,2620.53052000,4026.98462000,11033
1.541324,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639301194969344,6.08259468879,-72.06980720880,706.89019800,498.25677500,1069.97437000,1121.79541000,975.48327600,1309.55811000,10033
2.605975,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639301203671168,6.08463684089,-72.06884198659,1260.32434000,879.76739500,1763.93799000,,,,10099
3.148171,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639296909714432,6.08222040214,-72.06863987333,3949.73682000,2920.56079000,5944.83447000,2587.87402000,2158.59717000,3527.10303000,10033
4.408559,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639301194971904,6.07954082008,-72.06981381130,2720.34668000,2411.95532000,3141.01147000,2573.72900000,2288.03076000,2882.89355000,10033
4.621342,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639301205445760,6.08459956140,-72.07066753355,1977.98657000,1186.61804000,3112.37183000,2801.10522000,2056.64282000,3884.56836000,10033
4.640119,J0024-7204P,clf+00,J0024-7204P,00:24:20,-72:04:10,BT,UL,4.69,4689639301203672320,6.07992978308,-72.07019505394,4806.51953000,3986.28223000,5973.57812000,5049.02686000,3923.04688000,6057.63574000,10033
2.669786,J0024-7204Q,clf+00,J0024-7204Q,00:24:16.4909,-72:04:25.1644,ELL1,He,4.69,4689639301203677952,6.06932416127,-72.07437405755,1914.07690000,1392.53015000,2979.24585000,1489.25549000,1263.44983000,1781.62756000,10033
4.328681,J0024-7204Q,clf+00,J0024-7204Q,00:24:16.4909,-72:04:25.1644,ELL1,He,4.69,4689639301195008512,6.07154259427,-72.07448551895,2730.01538000,2193.33081000,3596.51147000,2551.88818000,2084.74561000,3130.74902000,10033
4.451641,J0024-7204Q,clf+00,J0024-7204Q,00:24:16.4909,-72:04:25.1644,ELL1,He,4.69,4689639296909663232,6.06604068119,-72.07273320725,2999.92920000,1911.06995000,5272.82422000,2463.46460000,1916.76904000,3692.60889000,10033
3.558560,J0024-7204R,clf+00,J0024-7204R,00:24:07.5851,-72:04:50.3954,ELL1,UL,4.69,4689639266844729088,6.03480432775,-72.08075423941,2308.30347000,1946.43018000,2966.34521000,2385.17554000,2013.55078000,2668.08423000,10033
4.492865,J0024-7204R,clf+00,J0024-7204R,00:24:07.5851,-72:04:50.3954,ELL1,UL,4.69,4689639266845709696,6.03012742091,-72.08182771453,2067.13354000,1850.90918000,2304.13013000,2230.18970000,2048.48267000,2426.02197000,10033
2.446824,J0024-7204S,clf+00,J0024-7204S,00:24:03.9794,-72:04:42.3530,ELL1,He,4.69,4689639473003162368,6.01588422177,-72.07907637596,27850.39650000,18459.00780000,35421.55470000,9689.35254000,8223.36133000,12055.11330000,11033
4.937974,J0024-7204S,clf+00,J0024-7204S,00:24:03.9794,-72:04:42.3530,ELL1,He,4.69,4689639468699960576,6.01931864457,-72.07951386013,2901.00635000,2638.27979000,3270.56104000,2689.53223000,2481.47192000,2966.55078000,10033
3.014420,J0024-7204T,clf+00,J0024-7204T,00:24:08.5491,-72:04:38.932,ELL1,He,4.69,4689639468699968384,6.03519950983,-72.07665389158,3831.83936000,3331.07788000,4349.50293000,4042.14185000,3746.82178000,4261.76270000,10033
2.329341,J0024-7204U,clf+00,J0024-7204U,00:24:09.8366,-72:03:59.6882,ELL1,He,4.69,4689639473004140416,6.03990935694,-72.06713575120,5041.25488000,3830.25977000,6838.51416000,5664.42725000,3507.17236000,7445.10107000,10033
2.613131,J0024-7204U,clf+00,J0024-7204U,00:24:09.8366,-72:03:59.6882,ELL1,He,4.69,4689639507355039360,6.04333049747,-72.06650473030,894.06878700,785.80529800,1038.43567000,782.02740500,711.10730000,891.95190400,10033
3.313855,J0024-7204U,clf+00,J0024-7204U,00:24:09.8366,-72:03:59.6882,ELL1,He,4.69,4689639472995299072,6.03888105093,-72.06592636092,2438.51123000,1533.79382000,4262.04883000,1755.67297000,916.47876000,2296.11230000,10133
4.878263,J0024-7204U,clf+00,J0024-7204U,00:24:09.8366,-72:03:59.6882,ELL1,He,4.69,4689639507355023488,6.04380419684,-72.06553933835,1736.96729000,1475.27942000,2125.17383000,1625.73462000,1408.35278000,2101.05493000,10033
3.078824,J0024-7204V,clf+00,J0024-7204V,00:24:05.67,-72:04:52.62,BTX,*,4.69,4689639266844741376,6.02136691235,-72.08178209766,3684.83325000,2943.57886000,4563.39990000,3279.50195000,3043.59424000,3527.49341000,10033
3.878993,J0024-7204W,clf+00,J0024-7204W,00:24:06.058,-72:04:49.088,BTX,MS,4.69,4689639473003156224,6.02630135098,-72.07927524167,4895.57178000,4127.82373000,5767.39551000,3369.10718000,3068.26245000,4901.09033000,10033
1.494964,J0024-7204X,fre08,J0024-7204X,00:24:22.38565,-72:01:17.4414,ELL1,*,4.69,4689640499510892032,6.09457177103,-72.02140251915,934.38568100,681.91217000,1422.75513000,3696.06885000,3060.30298000,4726.35156000,10033
2.605742,J0024-7204X,fre08,J0024-7204X,00:24:22.38565,-72:01:17.4414,ELL1,*,4.69,4689640499511364992,6.09448465844,-72.02213131636,4834.53125000,3342.55615000,6870.18213000,5059.96338000,4049.33057000,6586.72803000,10033
4.279179,J0024-7204X,fre08,J0024-7204X,00:24:22.38565,-72:01:17.4414,ELL1,*,4.69,4689640499510129536,6.08944482525,-72.02138374251,2346.03906000,1919.94641000,2996.22974000,2778.56201000,2352.25903000,3380.52295000,10033
4.313977,J0024-7204X,fre08,J0024-7204X,00:24:22.38565,-72:01:17.4414,ELL1,*,4.69,4689640499492159360,6.09682700342,-72.02199422532,4735.18604000,4415.30469000,5065.90283000,4787.57861000,4529.38135000,5090.28271000,10033
4.534063,J0024-7204X,fre08,J0024-7204X,00:24:22.38565,-72:01:17.4414,ELL1,*,4.69,4689640503794927232,6.09007940798,-72.02229526298,5195.02588000,4680.40723000,5668.50391000,4561.45264000,4166.21484000,5462.86865000,10033
2.727618,J0024-7204Y,frk+17,J0024-7204Y,00:24:01.4026,-72:04:41.8363,ELL1,He,4.69,4689639472993774720,6.00627303719,-72.07754177180,5529.78223000,4008.91064000,6950.84033000,2371.68384000,2129.75098000,2597.15186000,10033
4.498108,J0024-7204Y,frk+17,J0024-7204Y,00:24:01.4026,-72:04:41.8363,ELL1,He,4.69,4689639473003168896,6.00660992943,-72.07951491632,1657.64453000,1493.10864000,1862.56226000,1822.10706000,1653.00610000,2074.73706000,10033
0.530962,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849525145183232,11.39692851057,-73.31758137143,16002.50590000,11970.32230000,22748.18550000,17457.86130000,13207.59770000,22684.92380000,10022
1.315826,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849525159154560,11.39777079322,-73.31747734107,5187.17578000,2943.03052000,7091.47705000,,,,10099
1.823115,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885224192,11.39709004694,-73.31702274705,2456.23608000,1654.88782000,3704.38281000,,,,10099
1.847831,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849525159157504,11.39471642154,-73.31753620930,5031.36719000,3195.32104000,7239.68506000,3666.25513000,2700.47607000,5001.19531000,10022
3.055321,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849525160938880,11.39707663451,-73.31666760023,4271.54492000,2442.95166000,10680.40230000,,,,10099
3.224806,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885403904,11.39925525171,-73.31792052674,1864.00818000,1011.61493000,2945.60474000,,,,20099
3.518304,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885226240,11.39987777808,-73.31737794638,3542.93896000,2303.19922000,5515.03174000,,,,10099
4.237196,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885401216,11.39735718844,-73.31865099068,1947.87280000,1235.44580000,3051.63013000,649.70587200,609.33630400,674.40069600,10122
4.820376,J0045-7319,mmh+91,J0045-7319,00:45:35.16,-73:19:03.0,BT,MS,59.7,4685849520885394176,11.39198611829,-73.31783743535,944.94104000,685.55224600,1504.83997000,518.62713600,500.53207400,544.10870400,10122
0.022676,J0337+1715,rsa+14,J0337+1715,03:37:43.82589,+17:15:14.828,ELL1,HeT,1.3,44308738051547264,54.43261340915,17.25411546192,1827.34717000,1383.70056000,2681.70190000,1731.91858000,1333.67065000,2827.35132000,10022
0.014900,J0348+0432,lbr+13,J0348+0432,03:48:43.639000,+04:32:11.4580,ELL1,He,2.1,3273288485744249344,57.18183331780,4.53651619578,1709.52991000,944.31842000,2561.55688000,576.57434100,543.82421900,636.54516600,20022
1.115210,J0437-4715,jlh+93,J0437-4715,04:37:15.8961737,-47:15:09.110714,T2,He,0.157,4789864076732331648,69.31662758499,-47.25268764316,142.08081100,131.24137900,152.90962200,141.79222100,133.78250100,148.49211100,10033
