angDist,Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
3.769252,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04300621784,-72.08863455697,0.0000692,0.0000408,97.50,4689639198115981952,6.04300621784,0.0688,-72.08863455697,0.0415,,,,,,,,,49,3.2017,80.39,0.115,2.952e+00,3,,,6,,0,6.39614e+04,5.08503e+02,13.672572,6.02639e+04,3.79382e+03,13.388399,8.78930e+04,12.388010,2.316,1.000389,,,0,,,,,,,0.009061,0.068408,0.041004,13.672572,0.009061,6.39614e+04,1.099,0.0688,0.0415,-0.1417
3.952660,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04926589418,-72.08833223442,0.0007219,0.0003190,124.68,4689639198115984256,6.04926589418,0.6207,-72.08833223442,0.4874,,,,,,,,,42,26.1922,1023.02,1.654,1.128e+02,3,,,6,,0,1.67494e+04,2.62669e+02,15.127369,3.16744e+04,2.04058e+02,14.086770,4.44616e+04,13.127932,4.546,0.958838,,,0,,,,,,,0.017248,0.007531,0.011991,15.127369,0.017248,1.67494e+04,3.333,0.6207,0.4874,-0.6486
4.423929,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04637304830,-72.09015880957,0.0001382,0.0001071,84.59,4689639198115980672,6.04637304830,0.1379,-72.09015880957,0.1074,,,,,,,,,57,20.1241,642.04,0.559,4.987e+01,3,,,7,,0,6.85099e+04,4.17786e+02,13.597983,6.22155e+04,2.00941e+03,13.353796,9.94578e+04,12.253799,2.360,1.099998,,,0,,,,,,,0.007171,0.035178,0.013375,13.597983,0.007171,6.85099e+04,1.133,0.1379,0.1074,0.0483
4.981114,B0021-72E,mlr+91,J0024-7204E,00:24:11.10528,-72:05:20.1492,DD,*,4.69,6.04220666291,-72.08952310488,0.0012150,0.0008816,41.49,4689639198115980800,6.04228096610,0.0599,-72.08953304620,0.0483,0.1701,0.0681,2.4963,5.607,5.141,0.062,-2.237,0.069,104,9.9566,732.59,0.241,3.674e+01,95,1.4030,0.0130,9,1.786,0,1.67212e+05,6.84356e+02,12.629195,9.83833e+04,1.91261e+03,12.856239,1.87771e+05,11.563827,1.711,1.292413,,,0,,,,,,,0.005229,0.021291,0.018645,12.629195,0.005229,1.67212e+05,0.465,1.0411,1.0814,0.3081
1.449971,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02741965469,-72.06892827485,0.0001527,0.0000404,68.25,4689639472995378176,6.02741965469,0.1426,-72.06892827485,0.0679,,,,,,,,,42,6.9227,132.65,0.176,1.112e+01,3,,,5,,0,1.27857e+05,5.04316e+02,12.920555,,,,,,,,,,0,,,,,,,0.005092,,,12.920555,0.005092,1.27857e+05,,0.1426,0.0679,0.7704
1.457382,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02904852521,-72.06877024646,0.0009235,0.0004629,78.99,4689639473007316992,6.02904852521,0.9108,-72.06877024646,0.4875,,,,,,,,,49,14.7414,374.96,1.296,4.126e+01,3,,,7,,0,8.30467e+03,1.14359e+02,15.889061,,,,,,,,,,0,,,,,,,0.015203,,,15.889061,0.015203,8.30467e+03,,0.9108,0.4875,0.2697
2.055498,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02928601945,-72.06816792013,0.0032751,0.0009102,162.02,4689639472995345024,6.02936422618,0.0723,-72.06817458642,0.1236,0.2985,0.0653,4.5717,5.622,5.418,0.085,-1.500,0.201,74,6.0569,193.33,0.249,7.645e+00,95,1.5637,0.0168,9,1.556,0,2.25841e+04,2.47304e+02,14.802859,2.21031e+04,2.22516e+02,14.477407,3.26630e+04,13.462754,2.425,1.014653,,,0,,,,,,,0.012204,0.011281,0.018141,14.804946,0.012227,2.25407e+04,1.207,1.3310,3.1278,-0.6980
2.120778,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02605368454,-72.06867289527,0.0004928,0.0003365,57.44,4689639472995388800,6.02605368454,0.4531,-72.06867289527,0.3883,,,,,,,,,72,41.5437,2608.43,1.987,2.117e+02,3,,,8,,0,1.33294e+04,3.02148e+02,15.375340,2.75881e+04,2.76171e+02,14.236738,4.63896e+04,13.081843,5.550,1.154895,,,0,,,,,,,0.024765,0.011221,0.025970,15.375340,0.024765,1.33294e+04,4.318,0.4531,0.3883,0.3342
2.387709,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02763493074,-72.06921441829,0.0072985,0.0067195,142.37,4689639468699964800,6.02775610805,0.3072,-72.06922316636,0.2752,-0.0431,0.3229,-0.1335,8.622,8.394,0.431,-1.968,0.447,183,95.1644,148482.27,2.563,5.052e+03,95,1.2694,0.0858,20,9.137,0,2.55086e+05,7.55411e+02,12.170649,1.83554e+05,2.22765e+03,12.179132,3.74398e+05,10.814561,2.187,1.364572,,,0,,,,,,,0.004234,0.013469,0.014947,12.170649,0.004234,2.55086e+05,0.933,6.9410,7.0883,-0.0798
3.221365,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02623178226,-72.06783124071,0.0034189,0.0019800,40.14,4689639468699963520,6.02630452437,0.1197,-72.06784783340,0.0994,-0.0926,0.1213,-0.7636,6.272,5.039,0.169,-3.733,0.181,99,43.5727,2861.79,0.598,1.034e+02,31,,,10,5.501,0,6.42667e+04,2.17117e+02,13.667401,4.34479e+04,4.43680e+02,13.743620,6.34543e+04,12.741742,1.663,1.001878,,,0,,,,,,,0.004588,0.011433,0.007046,13.667401,0.004588,6.42667e+04,0.446,2.6737,2.9088,0.4923
3.366441,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.03046550632,-72.06907228567,0.0006629,0.0003069,146.01,4689639472995382656,6.03046550632,0.4496,-72.06907228567,0.5758,,,,,,,,,61,22.2565,772.27,1.516,5.901e+01,3,,,8,,0,6.32045e+03,6.21480e+01,16.185497,,,,,,,,,,0,,,,,,,0.011026,,,16.185497,0.011026,6.32045e+03,,0.4496,0.5758,-0.6183
3.902359,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02537253455,-72.06781241689,0.0042527,0.0003483,41.57,4689639472995344896,6.02537253455,2.8338,-72.06781241689,3.1900,,,,,,,,,38,12.6572,276.85,1.373,2.656e+01,3,,,5,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.8338,3.1900,0.9865
3.935379,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.03110159995,-72.06806600556,0.0006432,0.0001429,13.24,4689639472995345152,6.03110159995,0.2026,-72.06806600556,0.6270,,,,,,,,,38,3.5841,70.41,0.354,2.120e+00,3,,,5,,0,4.86230e+03,5.80856e+01,16.470263,,,,,,,,,,0,,,,,,,0.013260,,,16.470263,0.013260,4.86230e+03,,0.2026,0.6270,0.6902
4.085182,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02732173065,-72.06967663073,0.0160459,0.0003450,96.10,4689639472995381120,6.02732173065,15.9551,-72.06967663073,1.7385,,,,,,,,,37,2.3935,54.27,0.421,2.755e+00,3,,,4,,0,9.75284e+03,2.62327e+01,15.714540,,,,,,,,,,0,,,,,,,0.004015,,,15.714540,0.004015,9.75284e+03,,15.9551,1.7385,-0.9799
4.466372,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.03154169673,-72.06910769436,0.0005118,0.0003536,130.69,4689639473007316864,6.03154169673,0.4514,-72.06910769436,0.4280,,,,,,,,,92,47.2829,3380.72,2.559,2.094e+02,3,,,12,,0,8.09976e+03,1.59365e+02,15.916187,1.83644e+04,6.81386e+02,14.678599,2.52106e+04,13.743938,5.380,0.934661,,,0,,,,,,,0.021539,0.040381,0.024227,15.916187,0.021539,8.09976e+03,4.169,0.4514,0.4280,-0.3502
4.613153,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02954367712,-72.06973862579,0.0003443,0.0002401,41.86,4689639473007317376,6.02954367712,0.2911,-72.06973862579,0.3023,,,,,,,,,55,6.2607,141.04,0.993,3.326e+01,3,,,8,,0,9.17170e+03,1.59998e+02,15.781241,2.38888e+04,5.12397e+03,14.393056,2.97251e+04,13.565087,5.846,0.827969,,,0,,,,,,,0.019140,0.232899,0.042271,15.781241,0.019140,9.17170e+03,4.644,0.2911,0.3023,0.3438
4.666116,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02410492508,-72.06801606153,0.0006236,0.0004207,44.65,4689639473004141184,6.02410492508,0.5307,-72.06801606153,0.5332,,,,,,,,,87,102.2227,20687.85,2.914,6.160e+02,3,,,9,,0,1.40892e+04,1.68369e+02,15.315147,2.08234e+04,1.47922e+03,14.542165,2.77639e+04,13.639193,3.449,0.902972,,,0,,,,,,,0.013264,0.077178,0.039699,15.315147,0.013264,1.40892e+04,2.240,0.5307,0.5332,0.3744
4.680096,B0021-72H,mlr+91,J0024-7204H,00:24:06.7032,-72:04:06.8067,DD,He,4.69,6.02749816527,-72.06726420679,0.0006004,0.0004908,15.81,4689639472995344000,6.02749816527,0.4998,-72.06726420679,0.5930,,,,,,,,,58,42.1362,2737.70,2.341,1.987e+02,3,,,8,,1,1.06832e+04,3.24782e+02,15.615619,2.15656e+04,1.30252e+03,14.504139,2.82631e+04,13.619847,4.664,0.884292,,,0,,,,,,,0.033123,0.065636,0.019748,15.615619,0.033123,1.06832e+04,3.458,0.4998,0.5930,0.1058
3.341254,B0021-72I,mlr+91,J0024-7204I,00:24:07.9347,-72:04:39.6815,ELL1,UL,4.69,6.03304397216,-72.07861741634,0.0006267,0.0000861,41.50,4689639266835395072,6.03304397216,0.4203,-72.07861741634,0.4728,,,,,,,,,44,5.9655,117.57,0.193,7.276e+00,3,,,5,,0,5.62592e+04,2.43122e+02,13.811883,,,,,,,,,,0,,,,,,,0.005441,,,13.811883,0.005441,5.62592e+04,,0.4203,0.4728,0.9624
