angDist,ID,Name  (Counterpart),RA  [hh:mm:ss],DEC  [dd:mm:ss],â [deg],b  [deg],Magnitude Outburst (AB),Mag.  Quies. (AB),d  [kpc],fxpeak [2-10] keV [erg s-1 cm-2],Porb  [h],ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
1.449975,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76283261688,-29.83027454705,0.0180069,0.0072186,98.37,4050252497931814656,270.76282351469,0.7020,-29.83029056298,0.5172,2.7724,0.8165,3.3954,4.018,-1.777,1.139,-3.604,0.466,96,3.4938,149.31,1.527,2.845e+00,95,1.5268,0.1310,9,1.267,0,4.72878e+02,6.57760e+00,19.000494,,,,,,,,,,0,,,72202707628063977,,,,0.015352,,,19.000494,0.015352,4.72878e+02,,17.8459,7.6079,-0.2888
1.991186,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76266725074,-29.83108929374,0.0089730,0.0059986,89.49,4050252497931815040,270.76268831620,0.5393,-29.83111911890,0.3722,-0.7227,0.5510,-1.3116,7.870,4.112,0.547,-6.711,0.361,89,-0.1208,83.87,0.000,0.000e+00,95,1.4713,0.1320,9,0.987,0,4.05563e+02,2.58034e+00,19.167220,,,,,,,,,,0,,,72202707627293023,,,,0.007437,,,19.167220,0.007437,4.05563e+02,,8.9728,5.9989,0.0073
2.275911,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76183493742,-29.83081403650,0.0031880,0.0013091,27.12,4050252502106059904,270.76183493742,1.8627,-29.83081403650,2.8995,,,,,,,,,52,2.2238,71.14,1.897,1.986e+00,3,,,4,,0,3.45190e+02,2.68342e+00,19.342220,,,,,,,,,,0,,,,,,,0.008879,,,19.342220,0.008879,3.45190e+02,,1.8627,2.8995,0.6348
3.287820,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76190817745,-29.83131087161,0.0024900,0.0015366,38.43,4050252497931818240,270.76190817745,1.9607,-29.83131087161,2.1718,,,,,,,,,111,40.0826,2410.56,8.794,1.338e+02,3,,,8,,0,4.82705e+02,9.57293e+00,18.978163,5.75843e+02,2.06714e+02,18.437782,7.38392e+02,17.577179,2.723,0.860603,,,0,,,,,,,0.021708,0.389764,0.021682,18.978163,0.021708,4.82705e+02,1.518,1.9607,2.1718,0.4390
3.555737,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76141437610,-29.83085323871,0.0026578,0.0015420,5.58,4050252502106059776,270.76141437610,1.5563,-29.83085323871,2.6495,,,,,,,,,54,12.7856,313.53,5.156,2.658e+01,3,,,6,,0,4.21004e+02,1.58088e+01,19.126652,,,,,,,,,,0,,,,,,,0.040863,,,19.126652,0.040863,4.21004e+02,,1.5563,2.6495,0.1101
3.664465,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76346608671,-29.82997784343,0.0017661,0.0012697,78.63,4050252502088185088,270.76345424118,0.0947,-29.82999163676,0.0804,0.3657,0.1025,3.5691,3.870,-2.312,0.108,-3.103,0.078,225,-2.0545,183.86,0.000,0.000e+00,95,1.5151,0.0234,15,0.902,0,2.10607e+03,4.22034e+00,17.378687,1.07775e+03,3.45741e+01,17.757252,1.94246e+03,16.527018,1.434,1.230234,,,0,,,72202707634094289,,,,0.003511,0.034942,0.023415,17.380539,0.003513,2.10248e+03,0.194,1.7494,1.2926,0.1288
4.027696,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76325787812,-29.82965031168,0.0058590,0.0014852,42.09,4050252502025525760,270.76325787812,4.0792,-29.82965031168,4.4602,,,,,,,,,53,5.9580,131.93,2.509,4.937e+00,3,,,5,,0,4.34231e+02,4.09318e+00,19.093065,,,,,,,,,,0,,,,,,,0.010599,,,19.093065,0.010599,4.34231e+02,,4.0792,4.4602,0.8782
4.390977,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76356002679,-29.83135686565,0.0372544,0.0024174,132.86,4050252502025518720,270.76356002679,27.3592,-29.83135686565,25.4010,,,,,,,,,44,1.1041,48.81,1.239,1.093e+00,3,,,4,,0,4.34491e+02,3.58497e+00,19.092415,,,,,,,,,,0,,,,,,,0.009373,,,19.092415,0.009373,4.34491e+02,,27.3592,25.4010,-0.9916
4.428478,68,MAXI J1803-298,18:03:03,-29:49:50,1.1471843,-3.727514,i'=16.01Â±0.01,,,3.96E-9,,270.76333335828,-29.83155084044,0.0031441,0.0022335,78.67,4050252502025518848,270.76331325768,0.1737,-29.83156592633,0.1448,0.0797,0.1921,0.4151,5.188,-3.923,0.194,-3.394,0.138,208,12.5513,672.31,1.059,1.634e+01,95,1.2858,0.0404,15,1.684,0,1.88180e+03,1.32276e+01,17.500935,9.63582e+02,4.00928e+01,17.878820,2.51223e+03,16.247747,1.847,1.631073,,,0,,,72202707633232425,,,,0.008114,0.045262,0.023273,17.498037,0.008095,1.88683e+03,0.561,3.1139,2.2754,0.1331
2.454533,65,MAXI J1348-630,13:48:13,-63:16:28,309.2640654,-1.10297116,iâ=14.44Â±0.08,iâ=20.3Â±0.4,>3 / 2.2+0.5-0.6,1.97E-8,,207.05307847351,-63.27491918978,0.0016308,0.0013340,126.97,5864596118346825600,207.05307847351,1.5301,-63.27491918978,1.4483,,,,,,,,,140,1.9672,169.20,3.833,1.920e+00,3,,,11,,0,7.67600e+01,1.15353e+00,20.974530,1.93638e+01,6.75626e+00,22.121063,9.33042e+01,19.823141,1.468,2.297922,,,0,,,,,,,0.016547,0.378836,0.066953,20.974530,0.016547,7.67600e+01,0.091,1.5301,1.4483,-0.1908
0.793531,64,MAXI J1631-479,16:31:14,-47:48:23,336.2881394,0.31248069,,,,1.06E-8,,247.80864032891,-47.80631096002,0.0065973,0.0036586,72.93,5941220155975573888,247.80864527811,0.2936,-47.80632337128,0.1579,0.4511,0.3278,1.3763,2.891,0.748,0.398,-2.793,0.248,374,0.8767,419.35,0.282,1.703e-01,95,1.3278,0.0613,18,1.032,0,3.68588e+02,8.92980e-01,19.271015,1.09718e+02,4.74027e+00,20.237848,4.04565e+02,18.230425,1.395,2.007423,,,0,,,,,344421443,,0.003809,0.046991,0.015277,19.262074,0.003794,3.71635e+02,0.059,6.3975,3.9976,0.3306
0.903565,63,"MAXI J1820+070 
ASASSN-18ey = V3721 Oph",18:20:22,7:11:07,35.8535506,10.1591562,Vâ¼14,V=18.3,"3.46+2.18-1.03/
2.96Â±0.33",2.26E-7,16.4518Â±0.0002,275.09142659020,7.18535690540,0.0018674,0.0010252,42.40,4477902563164690816,275.09141273506,0.0613,7.18532896893,0.0678,0.3692,0.0780,4.7344,7.005,-3.093,0.091,-6.286,0.094,265,0.3784,278.83,0.000,0.000e+00,31,,,17,1.015,0,2.09064e+03,6.05349e+01,17.386671,1.18672e+03,1.18243e+02,17.652672,1.50435e+03,16.804523,1.287,0.848148,,,0,,,116622750914432872,,,486270102,0.031558,0.108217,0.090325,17.386671,0.031558,2.09064e+03,0.084,1.4692,1.5427,0.5352
